,results
530,"Sentence[46]: ""Job Description   UNIT SHIFT MANAGER FULL TIME DAYS EMERGENCY DEPARTMENT  1705041086  UNIT SHIFT MANAGER FULL TIME DAYS EMERGENCY DEPARTMENTDescription TheShift Manager is a registered nurse who  using critical thinking skills coordinates the clinical activities within the Department and collaborates withother members of the health care team"" → [""critical""/In-SK, ""thinking""/In-SK, ""skills""/In-SK]"
531,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040811  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
532,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX FriscoHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040811JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
533,"Sentence[141]: ""advanced directives  ethics consult etc   Establishes or assesses proper identification prior to delivery of care  Requests clarification of Physician orders as necessaryQualifications POSITION QUALIFICATIONS Required Current CA Registered Nurse LicenseCurrent American Heart Association BLS certification  maintain current at all times Effective verbal and written skills to communicate with people on all levels and able to maintain positive working relationships with parents  families  and co workersPossess active listening skillsCompassionate and non judgmental car iver and advocateAble to independently manage multiple prioritiesMust comply with Respiratory Fit Testing Protection PolicyExcellent customer service skillsPreferred OCNJob Med/SurgPrimary Location CA Palm SpringsHospital/Facility Desert Regional Medical CenterJob Type PT2YShift Type NightsJob Number 1705041043JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Requests""/In-SK, ""skills""/In-SK, ""active""/In-SK, ""listening""/In-SK, ""Testing""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
534,"Sentence[62]: "" see attached format  may be used in place of measure 3 when clinical responsibilities do not involve medical record documentation Works with other disciplines for complex discharge planning and early facilitation of discharge process  Utilizes current theories and knowledge for accurate assessments and evaluations Completes acuity evaluation on all assigned patients according to unit protocol  Consistently functions proficiently on the nursing unit"" → [""documentation""/In-SK, ""planning""/In-SK, ""evaluation""/In-SK]"
535,"Sentence[38]: ""Job Description   RN Ortho Spine Unit Per Diem Nights  1705041043  RN Ortho Spine Unit Per Diem NightsDescription GENERAL DUTIES The Clinical Nurse assumes principal responsibility for the total nursing care  assessment  planning  implementation  evaluation of each assigned patient"" → [""planning""/In-SK, ""evaluation""/In-SK]"
536,"Sentence[15]: "" Maintains competence in Nursing practice through inservices and participation in ongoing continuing education per year"" → [""education""/In-SK]"
537,"Sentence[9]: "" see attached chart review format  Facilitates effective problem solving"" → [""problem""/In-SK, ""solving""/In-SK]"
538,"Sentence[3]: ""3   0 med"" → [""0""/In-SK]"
539,"Sentence[149]: ""3     25 CEU or 10 CEU   3 Units College Credit  2   10   24 CEU   1     10 CEU  Consistently participates in the Quality Improvement Program by initiating completion of data collection tools offering suggestions to create action plans to improve quality of patient care  Demonstrates knowledge of legal  ethical  and safety issues and delivers care that is safe within the scope of practice  Reports  documents  and takes appropriate action  by the end of shift  for incidents and or quality care issues that may affect the patient s or staff well being  Consistently assesses patients for risk of injury and takes appropriate action to reduce risk and promote safety  Uses restraints according to policy and consistently explores other options less restrictive  with accurate documentation  Serves as advocate for patient/family by providing information and assists in utilization of available resources and or alternatives for making health care decisions i e"" → [""Credit""/In-SK, ""data""/In-SK, ""collection""/In-SK, ""less""/In-SK, ""documentation""/In-SK]"
540,"Sentence[69]: ""Access to all Patient Health Information for treatment purposes only DEPARTMENT SPECIFIC DUTIES  Obtains information and interpret information in terms of the patient s needs  Demonstrates knowledge of growth and development  Understands the range of treatment needed as appropriate to the ages of the patients served  Maintains annual orthopedic specific competencies Initiates interdisciplinary communications and incorporates recommendations  Acts as a consultant in complex patient care  Documentation demonstrates advanced practice"" → [""Documentation""/In-SK]"
541,"Sentence[78]: ""in length attended by 5 or more people with class outline  goals and objectives and sign sheet included  see examples  Active participation on an interdisciplinary or central committee or task force with at least 75  participation  Revises the orientation program or participates in same  Mentors other co workers  functions as a resource  acts as preceptor  and other duties as assigned  Involvement in developing procedural case management standards and or clinical practic uidelines and ensures departmental maintenance of standards"" → [""case""/In-SK, ""management""/In-SK]"
542,"Sentence[136]: ""advanced directives  ethics consult etc   Establishes or assesses proper identification prior to delivery of care  Requests clarification of Physician orders as necessaryQualifications POSITION QUALIFICATIONS Required Current CA Registered Nurse LicenseCurrent American Heart Association BLS certification  maintain current at all times BSNEffective verbal and written skills to communicate with people on all levels and able to maintain positive working relationships with parents  families  and co workersPossess active listening skillsCompassionate and non judgmental car iver and advocateAble to independently manage multiple prioritiesMust comply with Annual Health RequirementsPreferred Job Med/SurgPrimary Location CA Palm SpringsHospital/Facility Desert Regional Medical CenterJob Type PT1Shift Type DaysJob Number 1705041038JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Requests""/In-SK, ""skills""/In-SK, ""active""/In-SK, ""listening""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
543,"Sentence[36]: ""Job Description   RN Neuro Trauma Part Time Days  1705041038  RN Neuro Trauma Part Time DaysDescription GENERAL DUTIES The Clinical Nurse assumes principal responsibility for the total nursing care  assessment  planning  implementation  evaluation of each assigned patient"" → [""planning""/In-SK, ""evaluation""/In-SK]"
544,"Sentence[138]: "" Ability to care for multisystem injuries of trauma patients including those in various orthopedic and neurological braces  appliances  and tracheotomies   Must be capable of working with PCA  and epidural infusion pumps and technical pieces of equipment  Ability to prioritize and use electronic charting methods  Must be proficient in the care of chest tubes  Obtains information and interpret information in terms of the patient s needs  Demonstrates knowledge of growth and development  Understands the range of treatment needed as appropriate to the ages of the patients served  Maintains 5 Sinatra competencies  Initiates interdisciplinary communications and incorporates recommendations  Works with other disciplines for complex discharge planning and early facilitation of discharge process  Utilizes current theories and knowledge for accurate assessments and evaluations Completes acuity evaluation on all assigned patients according to unit protocol  Consistently functions proficiently on the nursing unit"" → [""planning""/In-SK, ""evaluation""/In-SK]"
545,"Sentence[136]: "" Functions as a charge nurse as assigned  Communicates changes in clinical practice to peers  Mentors other co workers  functions as a resource  acts as preceptor  and other duties as assigned  Demonstrates knowledge of legal  ethical  and safety issues and delivers care that is safe within the scope of practice  Reports  documents  and takes appropriate action  by the end of shift  for incidents and or quality care issues that may affect the patient s or staff well being  Consistently assesses patients for risk of injury and takes appropriate action to reduce risk and promote safety  Uses restraints according to policy and consistently explores other options less restrictive  with accurate documentation  Serves as advocate for patient/family by providing information and assists in utilization of available resources and or alternatives for making health care decisions  i e"" → [""less""/In-SK, ""documentation""/In-SK]"
546,"Sentence[96]: ""Job Description   Operator   Per Diem   Rotating Shift  1705038036  Operator   Per Diem   Rotating ShiftDescription 2 years customer service experience  Attention to detail  Ability to handlemultiple priorities  Demonstrates good judgment  General computer experience  10 key Qualifications Past experience in a HIM environment is preferred but is not requiredJob Clerical/AdministrativePrimary Location CA ModestoHospital/Facility Doctors Medical Center of ModestoJob Type PT2NShift Type RotateJob Number 1705038036JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""customer""/In-SK, ""service""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
547,"Sentence[43]: ""   Assists with the review and updating of all guidelines pertaining to infection control and assists with development and implementation of all policies and procedures related to infection control Participates in the evaluation and implementation of various aspects of the waste disposal program 3"" → [""evaluation""/In-SK]"
548,"Sentence[17]: ""Provides inservice education programs and participates in employee orientation Qualifications KNOWLEDGE  EXPERIENCE  AND OTHER JOB REQUIREMENTS 1"" → [""education""/In-SK]"
549,"Sentence[68]: ""They are not exhaustive lists of all duties  responsibilities  knowledge  skills  and abilities and working conditions associated with the job MB8184Job NursingPrimary Location MA FraminghamHospital/Facility MetroWest Medical CenterJob Type Full timeShift Type DaysJob Number 1705040975JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""skills""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
550,"Sentence[10]: ""Completion of training courses in infection control/ epidemiology 2"" → [""training""/In-SK]"
551,"Sentence[13]: ""Ensures accurate reporting of reportable diseases to appropriate local and state health agencies"" → [""reporting""/In-SK]"
552,"Sentence[39]: ""Job Description   RN REGISTERED NURSE 2 WEST FT DAYS  1605059032  RN REGISTERED NURSE 2 WEST FT DAYSDescription The Registered Nurse provides safe and effective nursing care to all patients utilizing the nursing process of assessment  planning  implementation and evaluation"" → [""planning""/In-SK, ""evaluation""/In-SK]"
553,"Sentence[168]: ""with ancillary departments Provides adequate information   instructions to the patient/family/significant other throughout hospitalization   discharge according to patient/families ability   willingness to learn As a charge nurse  provides mentoring and coaching for all clinical and supporting staff  able to identify educational needs and communicate to the department leadership  ensure proper integration of all new employees to include float staff Qualifications Minimum RequirementsGraduate from an accredited school of nursingFL State Nursing LicenseASN required / BSN preferredBLS and ACLS certification issued by the American Heart Association Preferred Requirements2 to 3 years of recent previous RN experience working in an inpatient hospital setting Job Med/SurgPrimary Location FL Palm Beach GardensHospital/Facility Palm Beach Gardens Medical CenterJob Type Full timeShift Type DaysShift begin time 7 00 AMShift end time 7 30 PMJob Number 1605059032JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""mentoring""/In-SK, ""coaching""/In-SK, ""leadership""/In-SK, ""integration""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
554,"Sentence[128]: ""Job Description   REGISTERED NURSE PART TIME DAYS EMERGENCY DEPARTMENT  1705041085  REGISTERED NURSE PART TIME DAYS EMERGENCY DEPARTMENTDescription The Professional Staff Nurse plans  delivers and evaluates nursing careto designated patients under the direction and supervision of the ClinicalManager and/or designee  Performs avariety of direct and indirect patient care duties  Performs miscellaneous duties as assigned Qualifications Licenses Certifications and/or Registrations Current Florida Nursing License CPR certification  Basic Life Support  Successful completion of GSMC medication test ACLS   PALSJob ERPrimary Location FL West Palm BeachHospital/Facility Good Samaritan Medical CenterJob Type PT1Shift Type DaysJob Number 1705041085JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
555,"Sentence[41]: ""Job Description   CLINICAL PHARMACIST  Full Time  Days  1705029757  CLINICAL PHARMACIST  Full Time  DaysDescription Abrazo ArrowheadCampus located at 67th Avenue and AZ Loop 101 in Glendale  is an award winning217 bed healthcare facility offering high quality  compassionate care to the communitysince 1988"" → [""healthcare""/In-SK]"
556,"Sentence[60]: ""Abrazo ArrowheadCampus specializes in cardiovascular  orthopedic  surgical  wound care hyperbaric oxygen therapy and obstetrical care  including a neonatal ICU In keeping with the Abrazo Health Care core values  the Clinical Pharmacy Specialist would develop  implement  and evaluate the clinical pharmacy services for the facility  as well as the training and education of the professional staff or participation in these services"" → [""training""/In-SK, ""education""/In-SK]"
557,"Sentence[151]: ""Under the direction of the Director of Pharmacy  the scope and breath of responsibility for the Clinical Pharmacy Specialist will include    Participation in critical care multidisciplinary rounds and review of clinical opportunities for critical patients in other acute care areas   Optimizing drug therapy and preventing adverse events while ensuring appropriate cost effective medication use   Participation in clinical decision making in Pharmacy   Therapeutics and other physician committees as needed   Providing drug information and in service education to medical  nursing  and pharmacy staff   Assisting with development   implementation of various drug and disease management protocols designed to optimize patient quality of care   Conducting medication use evaluations in areas of need   Precepting pharmacy studentsIN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS Qualifications Minimum Qualifications Bachelor of Science  Pharmacy Degree"" → [""decision""/In-SK, ""making""/In-SK, ""education""/In-SK, ""management""/In-SK, ""TESTING""/In-SK, ""Science""/In-SK]"
558,"Sentence[25]: ""Involvement in various professional education activities  including work with students from the local College of Pharmacy and staff pharmacist development and mentoring is also expected"" → [""education""/In-SK, ""mentoring""/In-SK]"
559,"Sentence[53]: ""ACLS  BCPSJob Pharmacist/Staff/ClinicalPrimary Location AZ GlendaleHospital/Facility Abrazo Arrowhead CampusJob Type Full timeShift Type DaysJob Number 1705029757JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
560,"Sentence[50]: ""After completion of 3 full years/beginning of 4th year may be eligible for Physical Therapist Level II PREFERRED EXPERIENCE  Clinical experience in both outpatient and inpatient care  as well as marketing and business familiarityREQUIRED CERTIFICATIONS/LICENSURE  NEW GRADUATES  Possession of current Texas State license prior to orientation"" → [""marketing""/In-SK]"
561,"Sentence[26]: ""Other related duties as assigned Qualifications POSITION QUALIFICATIONSMINIMUM EDUCATION  Bachelors Degree in Physical TherapyPREFERRED EDUCATION  Masters Degree in Physical TherapyMINIMUM EXPERIENCE  No previous work experience necessary"" → [""EDUCATION""/In-SK, ""EDUCATION""/In-SK]"
562,"Sentence[27]: ""Job Description   PHYSICAL THERAPIST  MISSION TRAIL BAPTIST  PRN  1705040718  PHYSICAL THERAPIST  MISSION TRAIL BAPTIST  PRNDescription POSITION SUMMARYResponsible for the administration  interpretation and evaluation of tests and measurements"" → [""administration""/In-SK, ""evaluation""/In-SK]"
563,"Sentence[83]: ""ALL OTHERS   Possession of current Texas State license PREFERRED CERTIFICATIONS/LICENSURE  See Preferred Certification ListingREQUIRED COURSES/ COMPLETIONS      CPR   BLS Obtained through approved American Heart Association Training Center or the Military Training NetworkJob Physical TherapyPrimary Location TX San AntonioHospital/Facility Mission Trail Baptist HospitalJob Type PT2YShift Type DaysJob Number 1705040718JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Training""/In-SK, ""Training""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
564,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX DallasHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040613JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
565,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040613  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
566,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040809  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
567,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX FriscoHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040809JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
568,"Sentence[54]: ""Good PC skills for data entryJob Clerical/AdministrativePrimary Location IL ChicagoHospital/Facility Weiss Memorial HospitalJob Type PT2YShift Type DaysJob Number 1705041059JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""skills""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
569,"Sentence[3]: ""Good communication skills5"" → [""communication""/In-SK]"
570,"Sentence[119]: ""The Imaging Center on Lovers Lane   The Imaging Center on Lovers Lane  a department of Baylor Scott   White Medical Center   White Rock offers 3D mammography  Qualifications High School Diploma or equivalent is requiredPossess and maintain American Heart Association BLS for HC providers and a Certified Nursing Assistant  CNA  license from the Texas Nurse Aide Registry Computer Skills  Ability to read  write  and comprehend medical terminology Job Nursing Assistants and PCAPrimary Location TX DallasHospital/Facility Baylor Scott   White Medical Center   White RockJob Type PT2YShift Type RotateJob Number 1705040979JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""3D""/In-SK, ""Skills""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
571,"Sentence[101]: ""Job Description   Registered Nurse  2  South   Ortho/Neuro  FT Nights  5 000 sign on bonus  1605043737  Registered Nurse  2  South   Ortho/Neuro  FT Nights  5 000 sign on bonusDescription GENERAL SUMMARY The Registered Nurse provides safe and effective nursing care to all patients utilizing the nursing process of assessment  planning  implementation and evaluation  The Registered Nurse administers and performs specialized nursing care according to assigned unit and treatment for patient  Specialized nursing care utilizes evidence based practice in accordance with professional standards  The Registered Nurse is responsible for the direction and supervision of assigned personnel delivering said patient care"" → [""planning""/In-SK, ""evaluation""/In-SK]"
572,"Sentence[86]: ""Performs charge duties as assigned  REGISTERED NURSE PRINCIPLE DUTIES and RESPONSIBILITIESThe RN identifies problems   implements appropriate interventions Assess patient s response to medications   treatments Administers  transcribes   documents medications as per hospital policy The RN observes  collects and accurately records data utilizing nursing process Documents changes in patient status  reports to physicians   documents actions taken Develops written plan of care  incorporates teaching component   collaborates with interdisciplinary team The RN sets priorities for care of patients based on acuity and/or patient preference Coordinates tests  treatments  etc"" → [""teaching""/In-SK]"
573,"Sentence[168]: ""with ancillary departments Provides adequate information   instructions to the patient/family/significant other throughout hospitalization   discharge according to patient/families ability   willingness to learn As a charge nurse  provides mentoring and coaching for all clinical and supporting staff  able to identify educational needs and communicate to the department leadership  ensure proper integration of all new employees to include float staff Qualifications Minimum RequirementsGraduate from an accredited school of nursingFL State Nursing LicenseASN required / BSN preferredBLS and ACLS certification issued by the American Heart Association Preferred Requirements2 to 3 years of recent previous RN experience working in an inpatient hospital setting Job ERPrimary Location FL Palm Beach GardensHospital/Facility Palm Beach Gardens Medical CenterJob Type Full timeShift Type 12 Hour NightShift begin time 7 00 PMShift end time 7 30 AMJob Number 1605043737JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""mentoring""/In-SK, ""coaching""/In-SK, ""leadership""/In-SK, ""integration""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
574,"Sentence[63]: ""cost obligations  risks   Microsoft Word and Excel experience/proficiency  accounting practices and contract management experience Job CorporatePrimary Location TX FriscoHospital/Facility Tenet HeadquartersJob Type Full timeShift Type DaysJob Number 1705040810JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Microsoft""/In-SK, ""Word""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""contract""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
575,"Sentence[65]: ""Job Description   Contract Administrator   Frisco  1705040810  Contract Administrator   FriscoDescription IN AN EFFORT TO PROVIDE A MORE HEALTHY  SAFE AND SATISFYING ENVIRONMENT TO OUR EMPLOYEES  INDIVIDUALS TO WHOM JOB OFFERS ARE EXTENDED MAY UNDERGO NICOTINE TESTING AS A PART OF THE PRE EMPLOYMENT PROCESS The Tenet Legal Operations Contract Administrator position will be responsible for creating and submitting ecats packages on behalf of designated hospital facilities"" → [""TESTING""/In-SK]"
576,"Sentence[193]: ""Job Description   RN II  ICU   FT  Staff  Night Shift   1705041056  RN II  ICU   FT  Staff  Night Shift Description JOB SUMMARYEffectively delivers patient care through thenursing process of assessment  planning  intervention  implementation  andevaluationQualifications JOB QUALIFICATIONS1 Registered Nurse with current Illinois license  BSN preferred2  CPR certification  must obtain ACLS certificationwithin 6 months of hire3 Demonstrated organization and time management skills andthe ability to prioritize multiple tasks4 Excellent interpersonal skills  customer servicedelivery skills5 Excellent experience leading and facilitating a widevariety of diverse patient groups required6 Ability to assess needs  identify problems  explorealternatives and implement solutions 7 Demonstrated ability to work independently and makedecisions in accordance with hospital policy and governmental regulations 8 Knowledge of basic computer operations and use of wordprocessing software9 Ability to use audio/visual equipment  telephone andother clinical equipment for patient teaching Job ICU/CCUPrimary Location IL ChicagoHospital/Facility Weiss Memorial HospitalJob Type Full timeShift Type NightsShift begin time 7 00 PMShift end time 7 30 AMJob Number 1705041056JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""planning""/In-SK, ""time""/In-SK, ""management""/In-SK, ""skills""/In-SK, ""skills""/In-SK, ""teaching""/In-SK, ""time""/In-SK, ""time""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
577,"Sentence[37]: ""fulltime day shift relief varied start times  5 30am  6 30am  7 30am Description Reporting the Supervisor of Environmental Services and working under direct supervision and according to specific assignments performs a variety of routine housekeeping duties"" → [""Reporting""/In-SK]"
578,"Sentence[152]: ""Maintains the hospital in a clean  sanitary and attractive condition and/or makes beds in discharge units and completes necessary paperwork Up to two  2  weeks of on the job training and experience in order to learn the proper preparation of cleaning solutions  infection control techniques  proper cleaning procedures and the locations of various hospital areas Qualifications A High School Diploma or its equivalent is preferred The ability to communicate effectively both verbally and written in English The ability to complete written forms and reports as required Previous experience in a hospital environment desirable Job HousekeepingPrimary Location IL BerwynHospital/Facility MacNeal HospitalJob Type Full timeShift Type DaysShift begin time 7 00 AMShift end time 3 30 PMJob Number 1705031716JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""training""/In-SK, ""English""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
579,"Sentence[387]: ""Access to all patient health information is for treatment purposes only DEPARTMENT DUTIES  Performs general nursing procedures  teaching  interventions  goal setting and treatments  within scope of practice  and reports significant findings to the Registered Nurse  RN  Supports changes in clinical practice and assists the department director with implementing changes in the hospital policies or practices Participates in orientation of new staff as needed Ensures compliance  knowledge and adherence with hospital s policies and procedures Maintains competence in practice Participates in quality improvement programs Provides skin care and hourly rounding to all assigned patients Knowledgeable of growth  development and treatment needed in various populations served Orients patients to room/unit and ensures  patient communication  white boards are complete Utilizes universal precautions and ensures others do so as well Ensures call lights are answered timely and report patient needs  which are outside of the scope of practice  to the appropriate personnel Adheres to hospital attendance/tardiness policy Attends all required education Organizes care and assumes responsibility for assigned group of patients Demonstrates guest relations in communication  cooperation and providing assistance to patients  physicians  co workers and visitors in a prompt and courteous manner Advocates and ensures patient rights are upheld Identifies patient safety risks and ensures patient safety is maintained Obtains and records vital signs  patient weight  activities of daily living  intake and output Notifies RN and documents changes in patient s appearance or behavior Applies telemetry leads and troubleshooting if working on telemetry monitoring unit Proficient with braces and specialized equipment utilized by patients Assists in monitoring mental health patients Other duties as appropriately assigned by unit directorQualifications POSITION QUALIFICATIONS Required  High School Diploma or GED Education   entry level  vocational training  specialized skills and certification Current California Nursing Assistant Certification Current American Heart Association Basic Life Support Non violent crisis de escalation training completed within three months of hire Excellent customer service skills Ability to work with staff  patients and families Good oral and written communication skills Ability to work in a dynamic environmentPreferred NoneJob Nursing Assistants and PCAPrimary Location CA Palm SpringsHospital/Facility Desert Regional Medical CenterJob Type PT2YShift Type DaysJob Number 1705041040JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""teaching""/In-SK, ""communication""/In-SK, ""education""/In-SK, ""communication""/In-SK, ""troubleshooting""/In-SK, ""Education""/In-SK, ""training""/In-SK, ""skills""/In-SK, ""training""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""skills""/In-SK, ""communication""/In-SK, ""skills""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
580,"Sentence[172]: ""Job Description   Registered Nurse Surgery Evening Up To 20K Bonus  1705040907  Registered Nurse Surgery Evening Up To 20K BonusDescription Under minimal supervisionRN provides nursing care for a group of patients assigned to the nurse based on matching the patients  needs with the nurse  competencies RNcompletes established competencies for the position within designated introductory period RNperforms other related duties as assigned Qualifications MINIMUM EDUCATION  Graduate of accredited school of nursing PREFERRED EDUCATION   Bachelor degreeREQUIRED EXPERIENCE  1 year of acute carePREFERRED EXPERIENCE   2 years in acute settingREQUIRED CERTIFICATIONS/LICENSURE   Possession of current Texas State License for Registered NurseREQUIRED COURSES/COMPLETIONS      CPR  BLS required for all Obtained through approved American Heart Association Training Center ACLS required within 6 months of hire or transferJob Surgical ServicesPrimary Location TX HarlingenHospital/Facility Valley Baptist Medical Center   HarlingenJob Type Full timeShift Type EveningJob Number 1705040907JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""EDUCATION""/In-SK, ""EDUCATION""/In-SK, ""Training""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
581,"Sentence[60]: ""Occasional evening and weekend work Job Phlebotomy/Blood/Medical AsstPrimary Location TX San AntonioHospital/Facility Staff BHS Physicians NetJob Type Full timeShift Type DaysJob Number 1705039327JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
